id,value
id_0,5.174960398984737
id_1,18.306214253527912
id_2,20.49121809418056
id_3,11.523942869805367
id_4,26.616056752306154
id_5,20.531348081761223
id_6,21.906551018797394
id_7,31.736468747068823
id_8,13.391674055111714
id_9,64.45646650291955
id_10,20.264568836159448
id_11,15.358576077361235
id_12,68.58947276926723
id_13,48.42811374745718
id_14,18.702333824193197
id_15,10.188595737466706
id_16,30.740362859820426
id_17,71.13221776355111
id_18,-4.130517391262437
id_19,18.23569401642868
id_20,38.57892227500777
id_21,71.3115197253133
id_22,7.410348162634051
id_23,18.717955330321402
id_24,14.937250260084571
id_25,36.71973669470532
id_26,17.9616970056627
id_27,75.78946287210542
id_28,12.309310248614455
id_29,56.29535173964959
id_30,25.11316086566149
id_31,4.610248674094045
id_32,2.483770554515047
id_33,24.759422261321276
id_34,30.480280465591164
id_35,38.46393074642664
id_36,44.20231060933004
id_37,30.086836019866002
id_38,40.473675015740085
id_39,29.226479902317394
id_40,5.606456054343937
id_41,38.66601607878964
id_42,34.610213431877185
id_43,48.38969750738482
id_44,14.757247666944176
id_45,34.4668201108721
id_46,27.483106874184358
id_47,12.000879378154043
id_48,21.378036151603773
id_49,28.544403091663277
id_50,20.165513818411604
id_51,10.796678149746482
id_52,22.171035755750104
id_53,53.44626310935228
id_54,12.21958112161007
id_55,43.3009684551715
id_56,32.18233510328544
id_57,22.567217514570814
id_58,56.739514165547064
id_59,20.74505294529547
id_60,15.02885455747331
id_61,39.855301590385125
id_62,12.975340680728301
id_63,51.74165959283004
id_64,18.783369632539827
id_65,12.348752842777706
id_66,15.633623653541893
id_67,-0.05887147068501264
id_68,41.508011073075956
id_69,31.548747530656016
id_70,18.604251157547083
id_71,37.47681972488072
id_72,56.520390657623025
id_73,6.587877193521955
id_74,12.229339737435026
id_75,5.203696404134632
id_76,47.92737510380059
id_77,13.020705685594688
id_78,17.11030169390362
id_79,20.603234531002045
id_80,21.2844815607846
id_81,38.692935290511784
id_82,30.020716675725843
id_83,88.76740666723548
id_84,35.98470023966831
id_85,26.756913553477204
id_86,23.963516843564435
id_87,32.74724282808308
id_88,22.189043755319943
id_89,20.992158853626563
id_90,29.555994316645425
id_91,40.99216886651781
id_92,8.625117809911531
id_93,32.321471808877895
id_94,46.59804436536767
id_95,22.884070826723516
id_96,31.51812972825165
id_97,11.198233479766142
id_98,28.527436642529608
id_99,0.29115068008961575
id_100,17.9669610795397
id_101,27.12416392947018
id_102,11.398232780652842
id_103,16.42642686567353
id_104,23.42526104692223
id_105,40.61608267056839
id_106,25.864125026560394
id_107,5.422736951672377
id_108,10.794921122256106
id_109,72.86213692992126
id_110,48.02283705948138
id_111,15.746808276902978
id_112,24.670410614177975
id_113,12.827793326536712
id_114,10.158057570240516
id_115,27.269223342020965
id_116,29.20873857793247
id_117,8.835339619930707
id_118,20.05108813712974
id_119,20.21233374376426
id_120,79.90600929870558
id_121,18.0616142882636
id_122,30.542809341304377
id_123,25.98079237772805
id_124,5.212577268164768
id_125,30.355697305856218
id_126,7.7683228889146445
id_127,15.328268255393361
id_128,22.66636571769795
id_129,62.742054211090085
id_130,18.950780367988017
id_131,19.07635563083855
id_132,61.37157409163708
id_133,15.884562052629697
id_134,13.409418077705546
id_135,0.8487724836112847
id_136,7.834996717304133
id_137,57.01282901179678
id_138,25.60799675181382
id_139,4.961704729242088
id_140,36.41487903906275
id_141,28.790006721975907
id_142,49.19412096197631
id_143,40.306869855734476
id_144,13.31618059398268
id_145,27.661011875229164
id_146,17.158027524366755
id_147,49.687262569296834
id_148,23.03027229160479
id_149,39.240936524842745
id_150,13.196753889412525
id_151,5.948893701039438
id_152,25.821608976304248
id_153,8.258634214291643
id_154,19.146320517225597
id_155,43.182486526516726
id_156,6.717843578093025
id_157,33.86961524681065
id_158,15.369937846981841
id_159,16.939044973551894
id_160,37.88533679463486
id_161,19.202484541054417
id_162,9.059504715654711
id_163,10.283399610648491
id_164,48.67244712569829
id_165,30.58771621323077
id_166,2.4774098975321586
id_167,12.811603937805952
id_168,70.32478980976464
id_169,14.840967694067029
id_170,68.86558756678859
id_171,42.74199244486633
id_172,24.000261542920157
id_173,23.420724860321453
id_174,61.67212443568233
id_175,25.49420284505919
id_176,19.00480978686907
id_177,34.886682881896846
id_178,9.402313398379754
id_179,29.520011314408038
id_180,14.57396588570047
id_181,9.125563143203578
id_182,52.812583998131885
id_183,45.03953799438966
id_184,17.45243467918328
id_185,38.49393527971431
id_186,27.038919092643813
id_187,65.58170967424584
id_188,7.037306380769611
id_189,52.71447713411571
id_190,38.206459337049765
id_191,21.169801059557855
id_192,30.247556879488403
id_193,2.7144229897163115
id_194,19.932932587640813
id_195,-3.4133323376039186
id_196,32.44599940281316
id_197,10.582973029979922
id_198,21.775225707258464
id_199,62.465292065677914
id_200,24.132943687316487
id_201,26.201239647400946
id_202,63.74447723440289
id_203,2.8342977741290447
id_204,14.37924698697887
id_205,9.369850731753885
id_206,9.881166613595404
id_207,3.494945358972142
id_208,122.60804937921779
id_209,21.083513014480573
id_210,17.532220599455105
id_211,20.183098344597035
id_212,36.39313221228184
id_213,34.935151205290694
id_214,18.830312661458617
id_215,38.344555522723304
id_216,77.9166341380704
id_217,1.7953235508882148
id_218,13.445827939135778
id_219,36.13115559041212
id_220,15.1504034981663
id_221,12.94184833441792
id_222,113.12524093786392
id_223,15.224604677934337
id_224,14.824025968612084
id_225,59.26735368854046
id_226,10.583695290718488
id_227,20.99306256353222
id_228,9.789365880830381
id_229,4.771180008705969
id_230,47.92780690481288
id_231,12.399438394751012
id_232,48.14647656264413
id_233,40.46638039656415
id_234,16.940590270332926
id_235,41.26654448941872
id_236,69.027892033729
id_237,40.34624924412243
id_238,14.313743982871145
id_239,15.770726634219798
